longitude,latitude,time,r,q,t,u,v,w,vo
-11.0,24.0,2022-10-01T00:00:00.000000000,51.618504,0.008831506,296.37732,1.9087162,-6.699073,-0.01317518,-3.287222e-06
-11.0,24.0,2022-10-01T03:00:00.000000000,64.616974,0.009271278,293.44727,2.1584897,-5.3605056,-0.0021427772,8.65269e-07
-11.0,24.0,2022-10-01T06:00:00.000000000,73.056465,0.009475783,291.82944,2.5430841,-4.679133,-0.0013232133,6.023443e-06
-11.0,24.0,2022-10-01T09:00:00.000000000,66.37473,0.009554439,292.64874,2.302535,-5.5715113,0.010907004,2.1270867e-05
-11.0,24.0,2022-10-01T12:00:00.000000000,43.252907,0.008569669,297.65442,-0.07244208,-3.377931,-0.023640146,3.933257e-05
-11.0,24.0,2022-10-01T15:00:00.000000000,28.608637,0.007119956,301.7432,0.031866763,-2.1404705,-0.018722882,4.0630224e-05
-11.0,24.0,2022-10-01T18:00:00.000000000,24.257902,0.0063802428,303.13214,-1.1715873,-1.4678901,0.0150677655,3.856209e-05
-11.0,24.0,2022-10-01T21:00:00.000000000,27.977186,0.006467638,302.84213,-0.095148586,1.0019023,0.019543776,2.3079467e-05
-11.0,24.0,2022-10-02T00:00:00.000000000,34.56263,0.0065270667,301.7614,0.6243694,1.3550438,0.010843942,2.3136241e-05
-11.0,24.0,2022-10-02T03:00:00.000000000,41.6183,0.0066239005,300.58185,0.57966566,1.6481073,0.0047918656,2.9510962e-05
-11.0,24.0,2022-10-02T06:00:00.000000000,47.034893,0.006688573,299.53625,0.29441282,1.0561191,0.018409023,2.7491491e-05
-11.0,24.0,2022-10-02T09:00:00.000000000,37.894535,0.0067032557,298.8834,-0.6209502,0.1703347,0.021687219,1.3939124e-05
-11.0,24.0,2022-10-02T12:00:00.000000000,21.250673,0.005663252,302.51572,-1.5462477,2.3888252,-0.03788774,4.24728e-06
-11.0,24.0,2022-10-02T15:00:00.000000000,17.155207,0.0055307606,305.86713,-0.5450249,3.430666,-0.016075125,-1.924686e-06
-11.0,24.0,2022-10-02T18:00:00.000000000,18.503195,0.0060761073,307.1013,-0.6819744,2.3038368,-0.0040340326,-1.0318879e-05
-11.0,24.0,2022-10-02T21:00:00.000000000,22.7778,0.0063005383,306.93613,-2.2132566,-1.7294494,0.011852631,-7.6424685e-06
-11.0,24.0,2022-10-03T00:00:00.000000000,25.96192,0.0060282145,306.1155,-2.5964317,-2.5148592,-6.239633e-05,-8.1858625e-06
-11.0,24.0,2022-10-03T03:00:00.000000000,26.48813,0.005691568,305.2754,-2.945547,-2.8130512,0.0010724165,-1.014045e-05
-11.0,24.0,2022-10-03T06:00:00.000000000,26.481413,0.0054108542,304.44955,-3.3783932,-2.826972,0.0071874955,-1.2184256e-05
-11.0,24.0,2022-10-03T09:00:00.000000000,20.207216,0.0052706725,303.44427,-3.9389646,-2.709014,0.009709189,-1.6125874e-05
-11.0,24.0,2022-10-03T12:00:00.000000000,15.661668,0.0060058413,308.95972,-4.3036904,-2.9273462,-0.01689463,-2.6052921e-05
-11.0,24.0,2022-10-03T15:00:00.000000000,15.357137,0.006453305,310.82465,-4.9011602,-1.6063625,-0.0143729355,-2.3011546e-05
-11.0,24.0,2022-10-03T18:00:00.000000000,16.416273,0.0066749393,311.01453,-3.757311,-2.0466905,0.0024592974,-1.4317272e-05
-11.0,24.0,2022-10-03T21:00:00.000000000,20.131083,0.006771424,310.27844,-2.1124957,-3.2878141,0.011915633,-9.8809205e-06
-11.0,24.0,2022-10-04T00:00:00.000000000,22.39266,0.0065997797,309.32648,-2.5027668,-3.3962474,-0.014751187,-4.057702e-06
-11.0,24.0,2022-10-04T03:00:00.000000000,23.953371,0.006445964,307.6072,-2.71919,-4.0878773,-0.011725178,-7.853337e-06
-11.0,24.0,2022-10-04T06:00:00.000000000,23.342073,0.005772321,305.529,-3.0640476,-4.665945,0.011096129,5.003033e-07
-11.0,24.0,2022-10-04T09:00:00.000000000,17.197748,0.0051154583,305.0413,-4.3561997,-4.7465377,0.008511374,-2.1031108e-06
-11.0,24.0,2022-10-04T12:00:00.000000000,12.773118,0.0054608444,311.02753,-7.046232,-4.7296863,-0.021811953,-8.648151e-06
-11.0,24.0,2022-10-04T15:00:00.000000000,12.994798,0.0060708635,312.89377,-6.081198,-3.9633255,-0.019227197,-1.7666838e-05
-11.0,24.0,2022-10-04T18:00:00.000000000,13.026147,0.005853074,313.11356,-3.927611,-3.7933488,0.0042875507,-1.2095042e-05
-11.0,24.0,2022-10-04T21:00:00.000000000,15.688539,0.0056667477,312.33844,-2.1061094,-3.7735667,0.017463395,-1.0464863e-05
-11.0,24.0,2022-10-05T00:00:00.000000000,16.239378,0.0050567286,309.6633,-2.2487357,-5.7414885,-0.0018275282,7.598367e-07
-11.0,24.0,2022-10-05T03:00:00.000000000,13.420243,0.0036825254,305.5511,-3.211641,-8.020789,-0.014435997,-3.6684057e-06
-11.0,24.0,2022-10-05T06:00:00.000000000,12.956731,0.0031917132,303.37534,-2.969673,-7.7431116,0.013806948,-1.1867952e-05
-11.0,24.0,2022-10-05T09:00:00.000000000,11.55948,0.0031592026,303.21408,-3.4571571,-7.650797,0.010213504,-1.2865522e-05
-11.0,24.0,2022-10-05T12:00:00.000000000,8.408944,0.0033238549,309.47992,-3.4479325,-7.477889,-0.02477496,-1.768306e-05
-11.0,24.0,2022-10-05T15:00:00.000000000,9.942788,0.004405459,311.9652,-1.6136581,-6.8023777,-0.022316268,-2.1519247e-05
-11.0,24.0,2022-10-05T18:00:00.000000000,11.044465,0.0045578764,311.34357,0.10069654,-6.537155,0.002963672,-4.617314e-06
-11.0,24.0,2022-10-05T21:00:00.000000000,13.758359,0.004387281,307.6592,0.16172072,-6.7752695,0.014815578,-2.27343e-06
-11.0,24.0,2022-10-06T00:00:00.000000000,21.696272,0.005494754,303.4586,0.38523957,-6.531294,-0.009518733,-4.292901e-06
-11.0,24.0,2022-10-06T03:00:00.000000000,36.44802,0.007388784,299.4335,0.82447195,-6.5825806,-0.01626425,4.354236e-07
-11.0,24.0,2022-10-06T06:00:00.000000000,46.564663,0.008013835,296.5971,0.6584294,-6.395752,0.013996074,4.2878287e-06
-11.0,24.0,2022-10-06T09:00:00.000000000,43.707462,0.008272875,297.00546,-0.28105977,-7.3819103,0.0032788613,6.0964353e-06
-11.0,24.0,2022-10-06T12:00:00.000000000,22.674795,0.0066689965,304.287,-0.62166,-6.0843725,-0.025279274,1.2949667e-05
-11.0,24.0,2022-10-06T15:00:00.000000000,13.8031435,0.0049892594,308.3628,-0.17533162,-4.2974176,-0.024648836,1.4174327e-05
-11.0,24.0,2022-10-06T18:00:00.000000000,13.379937,0.0048368424,309.04947,0.7421603,-3.0768085,-0.0020797155,1.4417635e-05
-11.0,24.0,2022-10-06T21:00:00.000000000,18.079988,0.005244803,307.75287,2.3004065,-3.3786635,0.0074396827,1.750767e-05
-11.0,24.0,2022-10-07T00:00:00.000000000,29.340853,0.006846933,302.56644,2.3954906,-5.6455097,-0.00838392,1.3095651e-05
-11.0,24.0,2022-10-07T03:00:00.000000000,46.757233,0.008679088,298.00946,2.517539,-5.271854,-0.0052948496,4.0526334e-06
-11.0,24.0,2022-10-07T06:00:00.000000000,59.56761,0.009404119,295.2823,1.8909764,-4.224152,0.00699837,4.604129e-06
-11.0,24.0,2022-10-07T09:00:00.000000000,56.860435,0.009710352,295.40582,1.7703471,-4.0571055,0.010465691,7.53196e-06
-11.0,24.0,2022-10-07T12:00:00.000000000,32.352554,0.0085941395,302.60675,2.254993,-1.8752481,-0.018785944,7.6211777e-06
-11.0,24.0,2022-10-07T15:00:00.000000000,18.975664,0.006297392,306.8139,4.041725,-0.72937,-0.01929026,8.926942e-06
-11.0,24.0,2022-10-07T18:00:00.000000000,18.948793,0.006203005,307.15073,3.9189672,-1.6019665,-0.009581735,6.3965176e-06
-11.0,24.0,2022-10-07T21:00:00.000000000,24.602736,0.0065847477,305.65775,3.1121702,-2.070868,0.0076288083,7.3129827e-06
-11.0,23.5,2022-10-01T00:00:00.000000000,46.125782,0.008436129,297.6661,1.734868,-6.617015,-0.03139435,-1.5191679e-06
-11.0,23.5,2022-10-01T03:00:00.000000000,60.073666,0.009064326,294.37323,1.7667994,-5.59056,-0.018470695,-5.75276e-06
-11.0,23.5,2022-10-01T06:00:00.000000000,70.15896,0.009279318,292.2534,2.2982779,-4.8938017,-0.014120808,-3.2061168e-06
-11.0,23.5,2022-10-01T09:00:00.000000000,64.939415,0.009302741,292.58112,2.6005607,-5.383218,-0.005042722,7.345426e-06
-11.0,23.5,2022-10-01T12:00:00.000000000,44.9211,0.008598684,297.03537,1.2303538,-3.2988038,-0.03309648,2.1814258e-05
-11.0,23.5,2022-10-01T15:00:00.000000000,30.11337,0.007215392,301.05914,1.4978671,-2.0650067,-0.02685534,2.4847524e-05
-11.0,23.5,2022-10-01T18:00:00.000000000,26.519476,0.0066032754,302.34924,0.45690748,-1.5602051,0.0071874955,2.962451e-05
-11.0,23.5,2022-10-01T21:00:00.000000000,29.799883,0.0067074504,302.13727,0.85995126,0.76891685,0.021308968,1.1992645e-05
-11.0,23.5,2022-10-02T00:00:00.000000000,35.594894,0.0066833296,301.30493,1.3155041,2.1499784,0.020489404,1.5465387e-06
-11.0,23.5,2022-10-02T03:00:00.000000000,42.793873,0.0066973125,300.4765,1.3389201,2.5104465,0.007376621,-5.540375e-07
-11.0,23.5,2022-10-02T06:00:00.000000000,46.972195,0.006670045,299.6806,1.0451527,1.4312403,0.018535087,-3.1006846e-06
-11.0,23.5,2022-10-02T09:00:00.000000000,37.207108,0.006622502,299.12527,-0.38182047,0.31759918,0.018409023,-3.49809e-06
-11.0,23.5,2022-10-02T12:00:00.000000000,20.955103,0.0056569595,302.9514,-1.6711345,2.4796748,-0.031520475,-8.494054e-06
-11.0,23.5,2022-10-02T15:00:00.000000000,18.469606,0.006064571,306.49655,-0.84163094,3.4914765,-0.0025840304,-1.3295371e-05
-11.0,23.5,2022-10-02T18:00:00.000000000,19.277952,0.0065197255,307.77496,-1.2361596,2.4239929,0.00977225,-1.6815253e-05
-11.0,23.5,2022-10-02T21:00:00.000000000,23.333117,0.0067078,307.58768,-2.522635,-1.2253801,0.0058636167,-9.134771e-06
-11.0,23.5,2022-10-03T00:00:00.000000000,26.974031,0.006526018,306.65002,-2.7099652,-2.111164,-0.0103382375,-7.228841e-06
-11.0,23.5,2022-10-03T03:00:00.000000000,28.24589,0.006192867,305.38202,-2.996637,-2.6364803,-0.015129438,-8.129088e-06
-11.0,23.5,2022-10-03T06:00:00.000000000,28.006296,0.005791898,303.94757,-3.3351085,-2.81818,-0.010968676,-8.672482e-06
-11.0,23.5,2022-10-03T09:00:00.000000000,21.371592,0.005509436,302.9943,-4.0226955,-2.725132,-0.009518733,-1.2322132e-05
-11.0,23.5,2022-10-03T12:00:00.000000000,15.657189,0.0059572496,309.06247,-5.2978177,-2.120689,-0.030511787,-2.0481124e-05
-11.0,23.5,2022-10-03T15:00:00.000000000,16.154287,0.0067067514,310.78305,-5.523465,-0.93085134,-0.023892334,-1.620698e-05
-11.0,23.5,2022-10-03T18:00:00.000000000,17.092508,0.0069294344,311.10687,-3.979411,-1.7331125,-0.0071861646,-1.3660337e-05
-11.0,23.5,2022-10-03T21:00:00.000000000,20.36172,0.007017529,310.39938,-2.5488896,-2.7822795,-0.0016384027,-9.91336e-06
-11.0,23.5,2022-10-04T00:00:00.000000000,21.989607,0.0067658303,309.3343,-2.4779313,-3.5017505,-0.03990506,-1.1055406e-06
